blue,green,red,ndwi,brightness,label,source_file
0.71940637,0.6807487,0.6917232,-0.00799617,0.6972928,0,GSL_1997_05.tif
0.6897758,0.6390294,0.65053314,-0.008920659,0.6597794,0,GSL_1997_05.tif
0.6897758,0.6390294,0.65053314,-0.008920659,0.6597794,0,GSL_1997_05.tif
0.74090225,0.70160836,0.71242225,-0.007647561,0.7183109,0,GSL_1997_05.tif
0.6828201,0.6448701,0.6354509,0.0073569017,0.6543804,0,GSL_1997_05.tif
0.66293544,0.6261891,0.63217443,-0.004756428,0.640433,0,GSL_1997_05.tif
0.66293544,0.6261891,0.63217443,-0.004756428,0.640433,0,GSL_1997_05.tif
0.6413216,0.59457517,0.60913503,-0.012095813,0.61501056,0,GSL_1997_05.tif
0.72805184,0.6948869,0.69603986,-0.00082889467,0.70632625,0,GSL_1997_05.tif
0.0018980696,0.0,0.0,0.0,0.00063268986,1,GSL_2021_01.tif
0.0003749852,0.0,0.0,0.0,0.00012499506,1,GSL_2021_01.tif
0.0017771899,0.0,0.0,0.0,0.00059239665,1,GSL_2021_01.tif
0.30376977,0.37918735,0.300243,0.1161918,0.32773337,1,GSL_1998_08.tif
0.28940526,0.34891677,0.2795761,0.11032833,0.30596602,1,GSL_1998_08.tif
0.3044667,0.34507647,0.30013564,0.06965269,0.31655958,1,GSL_1998_08.tif
0.2815067,0.31729078,0.25869447,0.101732135,0.28583065,1,GSL_1998_08.tif
0.2815067,0.31729078,0.26824954,0.08375368,0.28901565,1,GSL_1998_08.tif
0.2717884,0.30247176,0.26384777,0.06820164,0.27936932,1,GSL_1998_08.tif
0.30307284,0.33631155,0.28977534,0.07432855,0.30971992,1,GSL_1998_08.tif
0.2836362,0.3330586,0.2985252,0.054677345,0.30507335,1,GSL_1998_08.tif
0.29962692,0.33920306,0.2809181,0.0939895,0.3065827,1,GSL_1998_08.tif
0.3050862,0.33920306,0.28768182,0.082186,0.31065702,1,GSL_1998_08.tif
0.28444928,0.3131794,0.2793077,0.05716859,0.29231212,1,GSL_1998_08.tif
0.31162962,0.3354983,0.3053426,0.047056362,0.3174902,1,GSL_1998_08.tif
0.2913799,0.3217636,0.28317267,0.06379329,0.29877207,1,GSL_1998_08.tif
0.3053185,0.3371248,0.27447647,0.10243312,0.3056399,1,GSL_1998_08.tif
0.29323837,0.33658263,0.2716851,0.10669221,0.30050203,1,GSL_1998_08.tif
0.3137204,0.3481487,0.30684566,0.06305852,0.3229049,1,GSL_1998_08.tif
0.3406297,0.3959491,0.34141576,0.07395695,0.35933152,1,GSL_1998_08.tif
0.32475516,0.35903707,0.31216002,0.06984087,0.33198407,1,GSL_1998_08.tif
0.324639,0.35903707,0.30443007,0.08230539,0.3293687,1,GSL_1998_08.tif
